Generations,Popsize,Neutral,Deleterious,Beneficial
1972,9811,7842,7734,1015
1973,9888,7886,7742,1004
1974,9950,7854,7785,1004
1975,9843,7844,7755,1014
1976,9897,7911,7726,1019
1977,9887,7937,7782,1028
1978,9761,7933,7749,1017
1979,9708,7883,7731,1013
1980,9852,7904,7728,1030
1981,9745,7891,7742,1028
1982,9774,7843,7732,1020
1983,9880,7816,7760,1025
1984,9956,7836,7810,1021
1985,9902,7858,7780,1034
1986,9818,7883,7813,1030
1987,9811,7949,7814,1023
1988,9783,7943,7805,1029
1989,9776,7974,7813,1040
1990,9829,7950,7852,1037
1991,9872,7980,7846,1037
1992,9900,7992,7844,1029
1993,9882,8049,7787,1040
1994,9905,8079,7822,1034
1995,9791,8012,7779,1026
1996,9915,8027,7819,1018
1997,9707,7986,7830,1021
1998,9863,8003,7864,1006
1999,9746,7977,7887,995
2000,9779,7956,7804,993
2001,9768,7983,7802,1003
2002,9761,7959,7812,1001
2003,9762,7946,7792,999
2004,9724,7979,7816,997
2005,9923,7962,7802,997
2006,9877,7996,7823,1018
2007,9955,8008,7859,1036
2008,9950,7971,7855,1032
2009,9800,7942,7854,1039
2010,10001,7998,7832,1031
2011,9732,7963,7839,1035
2012,9785,7942,7797,1036
2013,9866,7959,7828,1034
2014,9855,7948,7812,1044
2015,9796,8010,7765,1043
2016,9901,8017,7781,1031
2017,9782,8016,7775,1030
2018,9890,8032,7790,1025
2019,9815,7953,7723,1024
2020,9886,7966,7731,1041
2021,9952,7973,7732,1033
2022,9933,7985,7740,1042
2023,9882,7931,7727,1025
2024,9889,7975,7742,1016
2025,9709,7968,7778,1019
2026,9921,7909,7764,1029
2027,9805,7939,7735,1020
2028,9957,7929,7760,1021
2029,9796,7888,7740,1016
2030,9947,7900,7742,1016
2031,9850,7886,7725,1029
2032,9856,7866,7775,1012
2033,9892,7939,7812,1020
2034,9793,7933,7794,1018
2035,10024,7969,7794,1031
2036,9910,7949,7822,1016
2037,9812,8027,7799,1031
2038,9839,8052,7815,1027
2039,9786,8055,7801,1014
2040,9910,8029,7785,988
2041,9794,7992,7752,1005
2042,9842,7984,7789,1018
2043,9819,8016,7796,1012
2044,9871,8016,7808,1024
2045,9769,7986,7753,1013
2046,9931,7937,7701,1016
2047,9802,7975,7738,1028
2048,9880,8020,7748,1022
2049,9912,8066,7759,1013
2050,9798,8124,7745,998
2051,9929,8143,7766,1001
2052,9947,8136,7704,1000
2053,9868,8163,7759,1010
2054,9783,8065,7732,1014
2055,9842,8078,7766,1004
2056,9970,8062,7779,1002
2057,9719,8041,7729,1006
2058,9977,8080,7757,987
2059,9620,8028,7715,994
2060,9819,8043,7721,1009
2061,9765,8061,7730,998
2062,9885,8087,7780,972
2063,9822,8043,7743,966
2064,9945,8030,7730,971
2065,9898,8002,7738,966
2066,9808,7990,7704,997
2067,10008,8033,7801,1011
2068,9860,8061,7804,1006
2069,9936,8039,7849,996
2070,9859,8029,7892,1004
2071,9984,8024,7936,1016
2072,9810,8035,7930,1015
2073,9821,8070,7969,1010
2074,9958,8046,8018,1024
2075,9905,8001,7996,1034
2076,9875,7941,7943,1038
2077,9920,7955,7946,1042
2078,9909,7998,7953,1030
2079,9884,7990,7923,1036
2080,9851,7975,7940,1029
2081,9908,8003,7953,1027
2082,9774,7959,7868,1026
2083,9993,7983,7915,1034
2084,9807,7982,7860,1027
2085,9835,7941,7860,1029
2086,10013,7990,7889,1034
2087,9840,7952,7865,1040
2088,10072,7940,7907,1025
2089,9895,7919,7872,1035
2090,9799,7878,7840,1033
2091,9909,7929,7916,1040
2092,9862,7927,7923,1052
2093,9900,7923,7964,1048
2094,9958,7951,7980,1040
2095,9890,7928,7983,1036
2096,9836,7870,7967,1042
2097,9986,7869,7951,1044
2098,9909,7920,7931,1045
2099,9913,7872,7935,1025
2100,9726,7888,7868,1020
2101,9905,7890,7914,1041
2102,9800,7930,7947,1055
2103,9784,7962,7939,1060
2104,9873,8014,7908,1048
2105,9890,7982,7896,1047
2106,9732,7993,7874,1057
2107,9825,7999,7841,1057
2108,9790,7987,7853,1038
2109,9946,8053,7901,1037
2110,9963,8042,7925,1039
2111,9852,8054,7868,1032
2112,9807,8016,7899,1024
2113,9809,7982,7918,1044
2114,9791,7994,7851,1052
2115,9923,8022,7857,1055
2116,9848,7972,7805,1054
2117,9871,8003,7781,1042
2118,9835,8008,7787,1038
2119,9847,8006,7782,1017
2120,9868,8039,7803,1022
2121,9886,8054,7762,1012
2122,9818,8000,7765,998
2123,9929,7969,7800,1013
2124,9799,8006,7828,1013
2125,9757,8040,7872,1001
2126,9832,7984,7850,1007
2127,9846,8033,7867,1007
2128,9981,8006,7938,999
2129,9918,7954,7944,986
2130,9917,7989,7917,998
2131,9992,8015,7997,1018
2132,9886,7988,7990,1032
2133,9969,8013,7925,1025
2134,9822,8020,7903,1012
2135,9859,7997,7917,1027
2136,9819,8024,7936,1025
2137,9875,8048,7959,1026
2138,9848,8052,7920,1031
2139,9978,8109,7964,1030
2140,9846,8071,7986,1022
2141,9756,8048,7988,1018
2142,9856,8015,8040,1024
2143,9791,8002,7977,1007
2144,9812,8029,7922,1008
2145,9861,8043,7881,1007
2146,9893,7994,7846,1015
2147,9928,7992,7862,993
2148,9903,7980,7824,997
2149,9961,8051,7838,993
2150,9901,8012,7823,1003
2151,9911,8059,7844,1009
2152,10027,8054,7821,1013
2153,9872,8051,7810,1020
2154,9837,8038,7774,1039
2155,10035,8076,7792,1033
2156,9880,8100,7833,1041
2157,9814,8129,7888,1048
2158,9818,8110,7838,1035
2159,9959,8126,7833,1031
2160,9888,8095,7857,1031
2161,9942,8033,7819,1036
2162,9791,8018,7885,1018
2163,9870,8079,7934,1009
2164,9831,8059,7913,1007
2165,9840,8037,7871,998
2166,9834,8033,7841,998
2167,9940,8034,7872,997
2168,9853,7999,7906,1004
2169,9943,8071,7851,998
2170,9968,8024,7837,996
2171,9921,7989,7905,987
2172,9922,7986,7943,1009
2173,9831,7985,7895,1014
2174,9842,8017,7867,1033
2175,9856,8010,7818,1020
2176,9679,7986,7834,1016
2177,9888,8002,7864,1024
2178,9899,8043,7845,1020
2179,9979,8074,7870,1019
2180,9922,8086,7870,1005
2181,9846,8033,7921,1010
2182,9917,8078,7902,1009
2183,9832,8046,7925,994
2184,9904,8036,7894,1011
2185,9845,8020,7851,1018
2186,9912,8019,7831,1026
2187,9710,8034,7823,1021
2188,9984,7992,7787,1028
2189,9936,8037,7786,1032
2190,9873,8069,7783,1033
2191,9896,8079,7865,1028
2192,9927,8079,7814,1032
2193,9919,8116,7835,1042
2194,9904,8116,7774,1037
2195,9849,8078,7760,1045
2196,9795,8049,7735,1036
2197,9787,8073,7792,1028
2198,9812,8042,7827,1039
2199,9801,8010,7768,1031
2200,9878,8026,7710,1023
2201,9869,8025,7711,1031
2202,9776,8044,7701,1039
2203,9910,8006,7616,1021
2204,9927,7987,7672,1026
2205,9850,8000,7713,1013
2206,9922,7998,7671,1014
2207,9942,8021,7721,992
2208,9918,8036,7727,1017
2209,9856,8076,7757,1015
2210,9806,8135,7741,1009
2211,9921,8092,7696,1005
2212,9868,8058,7655,1022
2213,9861,8050,7688,1036
2214,9862,8092,7700,1035
2215,9936,8124,7698,1035
2216,9903,8108,7676,1044
2217,9888,8074,7675,1036
2218,9983,8010,7762,1025
2219,9784,8019,7714,1037
2220,9950,8039,7730,1033
2221,9947,8092,7705,1039
2222,9861,8079,7784,1045
2223,9904,8084,7844,1041
2224,9936,8111,7869,1034
2225,9984,8117,7834,1025
2226,9975,8087,7841,1026
2227,9926,8061,7819,1031
2228,9979,8053,7864,1037
2229,9976,8055,7845,1044
2230,9972,8067,7843,1032
2231,9929,7982,7825,1039
2232,9818,7974,7824,1032
2233,10003,8013,7836,1047
2234,9871,8030,7764,1070
2235,9930,8031,7771,1060
2236,10013,8073,7784,1053
2237,9858,8054,7819,1039
2238,9915,8054,7801,1044
2239,9871,8080,7796,1053
2240,9828,8111,7781,1054
2241,9850,8078,7792,1039
2242,9820,8077,7770,1040
2243,9929,8032,7823,1047
2244,9856,8037,7782,1028
2245,9916,8036,7749,1027
2246,9933,8036,7793,1030
2247,9867,8044,7866,1033
2248,9952,8056,7866,1025
2249,9861,8092,7911,1030
2250,9820,8094,7910,1037
2251,9941,8054,7911,1032
2252,9931,8061,7885,1038
2253,9839,8060,7898,1042
2254,9879,8035,7872,1041
2255,9795,8055,7856,1051
2256,9909,8086,7904,1053
2257,9811,8023,7822,1047
2258,9836,8002,7741,1051
2259,9850,8002,7685,1049
2260,10015,8066,7721,1040
2261,9875,8092,7734,1037
2262,9815,8088,7714,1049
2263,9967,8091,7668,1050
2264,9977,8092,7746,1047
2265,9859,8075,7747,1063
2266,9980,8114,7769,1065
2267,9950,8086,7805,1049
2268,9827,8077,7827,1035
2269,9757,8039,7815,1038
2270,9907,8030,7781,1040
2271,9882,8016,7788,1036
2272,9846,8032,7804,1037
2273,9848,8000,7767,1051
2274,9920,8020,7740,1041
2275,9821,8018,7731,1042
2276,9964,8073,7761,1030
2277,9870,8051,7729,1038
2278,9741,8036,7683,1041
2279,9992,8095,7755,1046
2280,9899,8110,7725,1052
2281,9989,8130,7713,1032
2282,9897,8153,7725,1035
2283,9835,8109,7723,1056
2284,9953,8080,7724,1075
2285,9846,8067,7779,1055
2286,9902,8043,7732,1055
2287,9915,7982,7725,1056
2288,9874,8081,7704,1054
2289,9805,8140,7756,1049
2290,9835,8094,7684,1048
2291,9923,8163,7795,1065
2292,9986,8132,7799,1051
2293,9804,8124,7791,1062
2294,9922,8166,7820,1071
2295,9972,8159,7778,1068
2296,9830,8123,7756,1059
2297,9735,8085,7682,1044
2298,9771,8121,7772,1050
2299,9893,8079,7787,1055
2300,9848,8052,7765,1048
2301,9844,8097,7790,1051
2302,9810,8093,7714,1051
2303,9940,8111,7746,1064
2304,9901,8146,7800,1050
2305,9966,8203,7846,1055
2306,9995,8211,7901,1066
2307,9956,8219,7876,1060
2308,9907,8188,7830,1066
2309,9866,8193,7795,1074
2310,9856,8154,7855,1078
2311,9892,8167,7844,1075
2312,9884,8162,7857,1067
2313,9793,8100,7839,1046
2314,9843,8109,7862,1056
2315,10069,8096,7761,1043
2316,9821,8053,7766,1040
2317,9983,8049,7792,1031
2318,9893,8052,7770,1019
2319,9907,7996,7726,1018
2320,10081,8011,7789,1035
2321,10041,8016,7804,1044
2322,9825,8034,7774,1045
2323,9956,8044,7788,1047
2324,9890,7995,7718,1042
2325,9909,7992,7731,1051
2326,9858,8011,7771,1048
2327,9973,8026,7822,1046
2328,9991,8081,7896,1043
2329,9980,8097,7841,1034
2330,9878,8076,7792,1040
2331,10015,8087,7836,1053
2332,9910,8054,7847,1071
2333,9908,8065,7889,1051
2334,10015,8141,7911,1060
2335,9959,8150,7921,1059
2336,9879,8160,7905,1062
2337,9958,8181,7914,1057
2338,9871,8222,7945,1066
2339,9882,8194,7905,1069
2340,9881,8198,7973,1069
2341,9913,8243,7952,1079
2342,9950,8193,7992,1083
2343,9974,8193,8008,1074
2344,9879,8148,8036,1070
2345,9963,8111,7971,1074
2346,9863,8106,7973,1069
2347,9750,8150,7960,1057
2348,9902,8164,8006,1066
2349,9866,8167,7995,1066
2350,9917,8141,7992,1057
2351,9933,8116,7924,1066
2352,9932,8166,7907,1072
2353,9990,8209,7957,1081
2354,9914,8162,7929,1066
2355,9950,8216,7919,1070
2356,9918,8173,7962,1064
2357,9984,8201,7928,1066
2358,9988,8158,7942,1060
2359,9934,8179,7964,1054
2360,9880,8170,7966,1048
2361,9982,8156,7989,1050
2362,9910,8118,7982,1036
2363,9989,8139,8039,1056
2364,9930,8139,8020,1037
2365,10018,8190,7975,1051
2366,9804,8163,7972,1038
2367,9943,8205,7996,1039
2368,10038,8205,7998,1045
2369,9816,8223,7939,1032
2370,9833,8226,7915,1023
2371,10007,8224,7912,1023
2372,9984,8192,7887,1024
2373,10009,8164,7860,1020
2374,9984,8153,7879,1025
2375,9929,8103,7886,1025
2376,9838,8072,7876,1021
2377,9832,8030,7789,1024
2378,9925,8040,7840,1016
2379,9902,8052,7836,1025
2380,10037,8114,7922,1025
2381,9879,8104,7889,1029
2382,9859,8082,7898,1034
2383,9890,8131,7894,1033
2384,9930,8153,7899,1033
2385,10039,8132,7844,1046
2386,9871,8073,7792,1056
2387,9964,8104,7829,1067
2388,10057,8115,7876,1050
2389,10054,8103,7893,1061
2390,9920,8112,7895,1060
2391,9987,8149,7949,1073
2392,9886,8122,7910,1051
2393,9814,8087,7887,1049
2394,9947,8127,7947,1064
2395,10004,8124,7936,1066
2396,9933,8148,7936,1076
2397,10001,8184,8041,1088
2398,9876,8157,8047,1086
2399,9922,8148,7991,1059
2400,10053,8157,8008,1061
2401,9907,8169,8039,1067
2402,9921,8137,8066,1058
2403,9936,8161,8018,1049
2404,9915,8163,8020,1052
2405,9969,8133,7989,1059
2406,10009,8211,8015,1072
2407,9986,8149,8029,1037
2408,9986,8159,7998,1037
2409,9791,8107,7915,1051
2410,9820,8095,7885,1066
2411,9937,8129,7943,1060
2412,9844,8148,7916,1050
2413,10049,8161,7912,1056
2414,10035,8181,7907,1048
2415,9893,8144,7902,1071
2416,9977,8108,7861,1058
2417,9992,8139,7844,1079
2418,9946,8084,7849,1096
2419,9968,8129,7876,1088
2420,9965,8153,7897,1096
2421,9994,8180,7905,1105
2422,10027,8121,7904,1110
2423,9935,8162,7882,1110
2424,9792,8189,7906,1098
2425,9988,8171,7909,1124
2426,10072,8178,7937,1118
2427,10026,8185,8010,1139
2428,9988,8246,7979,1136
2429,10033,8249,7992,1126
2430,9965,8262,7977,1117
2431,10037,8289,7928,1109
2432,10005,8281,7917,1101
2433,9974,8189,7852,1072
2434,9896,8171,7817,1083
2435,10027,8180,7883,1075
2436,9965,8110,7851,1070
2437,10097,8118,7856,1074
2438,9947,8028,7795,1086
2439,10028,8051,7850,1087
2440,9927,8036,7787,1086
2441,9909,8024,7794,1093
2442,9852,8073,7800,1100
2443,9894,8105,7781,1084
2444,10163,8085,7863,1083
2445,9906,8088,7855,1078
2446,10064,8086,7868,1066
2447,9883,8031,7885,1082
2448,10021,8057,7911,1102
2449,9933,8064,7917,1080
2450,10034,8107,7954,1094
2451,9958,8092,7929,1087
2452,9978,8077,7923,1081
2453,9979,8080,7959,1091
2454,10042,8124,7936,1098
2455,10015,8092,7903,1099
2456,9924,8069,7875,1098
2457,9936,8031,7840,1111
2458,9992,8057,7892,1110
2459,9981,8104,7888,1111
2460,9971,8102,7912,1101
2461,10086,8131,7908,1102
2462,9907,8094,7871,1086
2463,10030,8132,7906,1096
2464,9917,8067,7879,1085
2465,10061,8074,7936,1081
2466,10038,8049,7927,1070
2467,9917,8073,7900,1087
2468,10025,8127,7880,1082
2469,10049,8105,7945,1059
2470,9951,8099,7888,1063
2471,9935,8019,7834,1068
2472,9984,8021,7863,1079
2473,10008,8056,7854,1097
2474,10069,8043,7893,1101
2475,9893,8019,7796,1097
2476,9815,7998,7820,1089
2477,10038,8010,7845,1074
2478,9879,7989,7833,1076
2479,9999,8044,7877,1076
2480,10006,8006,7912,1081
2481,9969,8035,7916,1108
2482,9944,8061,7893,1118
2483,10077,8082,7946,1107
2484,9986,8127,7893,1109
2485,9910,8089,7920,1098
2486,9853,8059,7815,1086
2487,9957,8053,7792,1086
2488,9949,8093,7837,1096
2489,9983,8078,7846,1104
2490,9962,8060,7816,1093
2491,10064,8119,7845,1099
2492,10031,8177,7850,1093
2493,9880,8156,7844,1102
2494,9939,8170,7815,1096
2495,9967,8147,7811,1087
2496,9953,8166,7850,1094
2497,10032,8159,7863,1092
2498,10056,8126,7943,1100
2499,10035,8115,7944,1102
2500,10048,8111,7968,1091
2501,9952,8071,7944,1089
2502,9966,8031,7912,1097
2503,9858,8107,7932,1088
2504,10096,8169,7995,1087
2505,9954,8127,7931,1084
2506,10048,8111,7923,1081
2507,9959,8079,7923,1087
2508,10002,8052,7861,1078
2509,10158,8139,7865,1068
2510,9908,8143,7801,1076
2511,9971,8167,7778,1093
2512,9975,8150,7795,1096
2513,9945,8174,7779,1088
2514,9920,8216,7823,1103
2515,9952,8222,7826,1114
2516,9912,8240,7842,1092
2517,10049,8252,7827,1091
2518,10039,8292,7885,1079
2519,9958,8284,7840,1074
2520,9944,8289,7836,1077
2521,9930,8300,7836,1087
2522,9914,8310,7822,1098
2523,9923,8289,7777,1094
2524,9977,8282,7811,1096
2525,9976,8238,7823,1083
2526,9992,8212,7833,1070
2527,9945,8232,7806,1080
2528,10067,8250,7800,1080
2529,10046,8253,7858,1079
2530,10030,8232,7867,1081
2531,9932,8254,7810,1109
2532,9947,8262,7813,1110
2533,9994,8248,7831,1109
2534,10130,8294,7932,1124
2535,9979,8190,7865,1103
2536,9997,8207,7880,1104
2537,9973,8203,7847,1082
2538,10080,8216,7831,1081
2539,9864,8190,7794,1081
2540,9976,8174,7783,1079
2541,10160,8213,7839,1077
2542,9981,8159,7823,1071
2543,10137,8166,7805,1071
2544,10046,8197,7795,1068
2545,10114,8151,7795,1078
2546,10055,8109,7805,1073
2547,9982,8114,7806,1064
2548,10043,8084,7788,1061
2549,9886,8115,7845,1058
2550,10028,8157,7805,1075
2551,9883,8168,7834,1051
2552,10001,8148,7853,1055
2553,9982,8099,7823,1038
2554,10074,8114,7820,1051
2555,9897,8164,7774,1051
2556,10031,8149,7817,1048
2557,10046,8143,7874,1069
2558,9963,8161,7888,1087
2559,10115,8141,7893,1089
2560,10164,8177,7883,1087
2561,10005,8163,7828,1085
2562,9921,8149,7807,1075
2563,9977,8183,7773,1089
2564,9992,8155,7765,1077
2565,9970,8097,7810,1067
2566,10029,8088,7809,1074
2567,10094,8081,7767,1093
2568,10005,8094,7771,1087
2569,9968,8091,7761,1097
2570,10030,8089,7779,1086
2571,9876,8115,7794,1109
2572,10142,8131,7832,1102
2573,10059,8147,7860,1092
2574,10053,8044,7843,1085
2575,10058,8022,7857,1089
2576,9878,8016,7866,1078
2577,9940,8038,7911,1074
2578,10025,8002,7878,1071
2579,10055,8107,7898,1081
2580,10154,8128,7905,1091
2581,9993,8105,7936,1090
2582,10034,8120,7888,1081
2583,10148,8096,7849,1088
2584,9978,8089,7842,1081
2585,9960,8120,7845,1082
2586,9987,8151,7832,1087
2587,10025,8124,7847,1076
2588,10014,8097,7874,1087
2589,9981,8108,7863,1068
2590,10029,8141,7835,1082
2591,9977,8132,7801,1091
2592,10045,8171,7813,1102
2593,10114,8193,7829,1098
2594,9949,8202,7860,1106
2595,10024,8236,7850,1100
2596,10047,8252,7839,1087
2597,10045,8162,7839,1087
2598,9972,8169,7831,1085
2599,10023,8197,7852,1082
2600,9933,8155,7846,1094
2601,10051,8169,7837,1098
2602,10024,8186,7794,1088
2603,9996,8146,7767,1078
2604,10118,8169,7773,1105
2605,10110,8203,7821,1098
2606,10098,8204,7869,1088
2607,10146,8156,7911,1079
2608,10052,8148,7904,1074
2609,9891,8134,7827,1081
2610,10004,8143,7854,1088
2611,10047,8156,7868,1098
2612,9887,8110,7829,1103
2613,10132,8165,7888,1112
2614,10009,8161,7878,1096
2615,10051,8177,7783,1096
2616,9935,8197,7818,1120
2617,10074,8198,7877,1117
2618,10062,8201,7909,1103
2619,9968,8253,7827,1094
2620,10147,8273,7799,1105
2621,10055,8244,7827,1124
2622,9954,8271,7811,1103
2623,9934,8295,7806,1093
2624,9985,8283,7808,1086
2625,9991,8292,7883,1096
2626,10051,8264,7838,1091
2627,10130,8229,7896,1093
2628,10073,8222,7892,1103
2629,10076,8179,7873,1109
2630,10189,8175,7903,1091
2631,10027,8090,7808,1097
2632,9924,8063,7777,1105
2633,10046,8140,7865,1103
2634,9979,8190,7799,1127
2635,10052,8229,7835,1138
2636,10046,8239,7838,1125
2637,10093,8252,7886,1130
2638,10003,8190,7886,1131
2639,10130,8174,7903,1142
2640,10013,8140,7899,1127
2641,10110,8146,7870,1110
2642,10090,8158,7853,1111
2643,10063,8149,7897,1111
2644,9965,8178,7832,1115
2645,10093,8162,7845,1113
2646,10019,8099,7814,1106
2647,10125,8101,7837,1097
2648,10146,8129,7866,1104
2649,9933,8155,7865,1118
2650,9960,8144,7901,1099
2651,9990,8119,7935,1101
2652,10137,8077,7882,1104
2653,10100,8110,7881,1106
2654,9942,8125,7875,1102
2655,10036,8152,7912,1094
2656,10000,8170,7902,1099
2657,10095,8156,7913,1099
2658,9899,8102,7850,1098
2659,10081,8102,7858,1087
2660,9974,8074,7869,1094
2661,10111,8073,7855,1100
2662,9947,8048,7801,1095
2663,10146,8085,7780,1113
2664,10046,8091,7783,1123
2665,10005,8088,7755,1124
2666,10083,8101,7795,1112
2667,10020,8123,7787,1108
2668,9941,8089,7807,1111
2669,10057,8132,7842,1117
2670,10078,8059,7905,1113
2671,10038,8063,7858,1113
2672,10032,8079,7876,1127
2673,9995,8055,7854,1124
2674,10039,8012,7771,1120
2675,10054,8091,7791,1123
2676,10025,8067,7769,1122
2677,9947,8085,7790,1126
2678,9990,8101,7826,1114
2679,9948,8062,7789,1136
2680,10145,8110,7845,1146
2681,10092,8151,7824,1151
2682,10142,8188,7862,1151
2683,10020,8234,7823,1162
2684,10125,8264,7873,1141
2685,9992,8234,7892,1157
2686,10135,8274,7912,1152
2687,10125,8208,7921,1150
2688,10005,8180,7913,1156
2689,10007,8254,7919,1149
2690,9969,8281,7901,1154
2691,10072,8276,7891,1151
2692,10032,8218,7947,1151
2693,9979,8223,7951,1136
2694,9952,8244,7937,1141
2695,9909,8248,7928,1152
2696,10188,8333,8006,1159
2697,10083,8308,7953,1145
2698,9865,8270,7891,1140
2699,10069,8284,7912,1122
2700,10078,8313,7916,1129
2701,10054,8302,7919,1115
2702,9914,8332,7957,1121
2703,10085,8329,7954,1131
2704,10155,8296,7993,1129
2705,10132,8328,8043,1119
2706,10152,8385,8063,1115
2707,10116,8391,8037,1129
2708,10025,8355,7968,1128
2709,9938,8293,7942,1129
2710,10022,8328,7958,1132
2711,10101,8334,7950,1115
2712,10135,8352,7991,1133
2713,9988,8301,8003,1120
2714,10043,8216,7953,1117
2715,10000,8256,7931,1104
2716,10043,8264,7968,1106
2717,10053,8304,8017,1117
2718,10106,8312,8012,1123
2719,10011,8294,8002,1123
2720,10100,8301,8006,1137
2721,10038,8333,8022,1136
2722,10044,8320,8032,1131
2723,10131,8341,8013,1132
2724,9878,8280,8032,1107
2725,10091,8290,8012,1105
2726,10061,8305,8051,1106
2727,10052,8275,8078,1111
2728,10091,8245,8044,1107
2729,10094,8269,8085,1114
2730,10124,8276,8091,1126
2731,10128,8297,8070,1127
2732,10127,8313,8042,1121
2733,10101,8313,8045,1131
2734,10004,8278,8014,1110
2735,10056,8260,8019,1120
2736,10154,8296,8031,1117
2737,10107,8320,8018,1098
2738,10082,8283,8043,1092
2739,10096,8315,8080,1099
2740,10099,8296,8019,1121
2741,10027,8223,8016,1143
2742,9974,8234,8015,1135
2743,10073,8312,8034,1141
2744,9955,8351,8033,1141
2745,9953,8288,8001,1133
2746,10077,8317,7974,1127
2747,10021,8273,8009,1121
2748,10042,8289,8023,1130
2749,10083,8264,8017,1120
2750,10093,8220,8039,1113
2751,10108,8264,8032,1120
2752,10149,8268,8023,1126
2753,10099,8213,8000,1133
2754,10052,8247,8056,1151
2755,10050,8234,8004,1143
2756,10001,8214,7926,1153
2757,10223,8272,7982,1152
2758,10068,8252,7924,1134
2759,10022,8234,7906,1148
2760,10088,8307,7851,1157
2761,10070,8277,7844,1162
2762,9962,8256,7854,1154
2763,10061,8249,7865,1166
2764,10110,8288,7928,1168
2765,10065,8256,7932,1167
2766,9954,8214,7917,1156
2767,10065,8221,8036,1150
2768,10082,8225,8050,1143
2769,10167,8253,8026,1148
2770,10151,8240,7939,1144
2771,9967,8241,7891,1131
2772,10105,8250,7889,1124
2773,10106,8237,7866,1144
2774,10104,8188,7799,1141
2775,10145,8170,7809,1141
2776,10084,8173,7868,1142
2777,10026,8191,7855,1146
2778,10073,8146,7907,1136
2779,10148,8170,7961,1148
2780,9991,8135,7937,1157
2781,10024,8148,7944,1147
2782,10166,8216,7980,1165
2783,10167,8206,7941,1157
2784,10020,8185,7896,1143
2785,10155,8253,7993,1150
2786,10171,8306,7971,1147
2787,10174,8287,7946,1140
2788,10135,8260,7882,1146
2789,10117,8254,7913,1144
2790,10119,8270,7940,1154
2791,10205,8298,7971,1162
2792,10118,8234,7930,1152
2793,10054,8268,7934,1147
2794,10078,8291,7932,1158
2795,10117,8324,7966,1149
2796,10167,8320,7940,1144
2797,10122,8329,7940,1129
2798,10013,8337,7882,1147
2799,10211,8368,7884,1127
2800,10073,8342,7873,1119
2801,10077,8410,7892,1100
2802,10063,8412,7945,1112
2803,10008,8367,7959,1101
2804,10122,8388,7948,1106
2805,10123,8392,7884,1098
2806,10106,8376,7876,1093
2807,10174,8309,7924,1093
2808,10168,8308,7922,1089
2809,10221,8356,7977,1103
2810,10134,8317,7982,1113
2811,10108,8337,7912,1106
2812,10174,8328,7942,1122
2813,10116,8315,7946,1116
2814,10063,8345,7929,1123
2815,10185,8354,7945,1129
2816,10145,8364,7913,1127
2817,10026,8349,7897,1122
2818,10122,8286,7867,1131
2819,10177,8265,7855,1150
2820,10105,8285,7861,1147
2821,10204,8274,7877,1154
2822,10179,8324,7854,1161
2823,10184,8339,7909,1168
2824,10067,8336,7905,1167
2825,10106,8293,7874,1142
2826,10180,8251,7890,1152
2827,10171,8225,7915,1163
2828,10003,8187,7910,1170
2829,10066,8246,7880,1181
2830,10102,8289,7852,1198
2831,10167,8272,7868,1176
2832,10179,8339,7897,1175
2833,10205,8317,7902,1162
2834,10224,8346,7904,1166
2835,10136,8410,7991,1162
2836,10075,8405,7943,1157
2837,10153,8380,7938,1157
2838,10115,8320,7885,1157
2839,10133,8268,7900,1152
2840,10206,8317,7957,1163
2841,10107,8260,7963,1135
2842,10234,8290,7939,1150
2843,10177,8269,7966,1130
2844,10093,8286,7914,1126
2845,10086,8297,7986,1128
2846,10121,8326,7989,1124
2847,10133,8351,7929,1107
2848,10193,8354,7917,1097
2849,10034,8284,7881,1097
2850,10206,8352,7904,1091
2851,10043,8292,7849,1100
2852,10159,8313,7863,1090
2853,10108,8323,7895,1100
2854,10092,8341,7894,1106
2855,10056,8351,7910,1125
2856,10158,8366,7936,1122
2857,10155,8373,7934,1116
2858,10079,8357,7925,1141
2859,10192,8344,7980,1142
2860,10281,8331,7956,1138
2861,10106,8337,7974,1139
2862,10141,8332,7986,1159
2863,10124,8391,7957,1169
2864,10205,8357,7916,1173
2865,10050,8321,7947,1167
2866,10075,8407,7942,1162
2867,10175,8406,7948,1161
2868,10171,8413,7957,1151
2869,10213,8465,7988,1155
2870,10189,8448,8008,1153
2871,10165,8503,8043,1158
2872,10139,8533,7977,1149
2873,10046,8486,7984,1143
2874,10206,8548,8003,1136
2875,10155,8556,8021,1146
2876,10146,8497,8058,1133
2877,10316,8508,8053,1126
2878,10108,8457,7985,1118
2879,10126,8421,7999,1125
2880,10124,8374,8006,1125
2881,10172,8380,7969,1121
2882,10093,8354,7982,1131
2883,10148,8376,7941,1142
2884,10237,8404,7954,1140
2885,10181,8396,7929,1128
2886,10141,8349,7958,1127
2887,10158,8446,7970,1132
2888,10184,8397,7984,1144
2889,10206,8421,7994,1147
2890,10167,8418,7972,1131
2891,10214,8423,7980,1134
2892,10165,8392,7971,1139
2893,10058,8407,7927,1135
2894,9984,8401,7908,1144
2895,9969,8419,7918,1149
2896,10150,8392,7908,1163
2897,10059,8378,7893,1148
2898,10099,8395,7876,1140
2899,10250,8388,7917,1148
2900,10048,8331,7899,1145
2901,10142,8300,7945,1139
2902,10070,8332,7930,1150
2903,10010,8303,7955,1145
2904,10256,8318,8024,1173
