Generations,Popsize,Neutral,Deleterious,Beneficial
245,10005,5721,6211,612
246,9969,5795,6221,608
247,9909,5787,6240,616
248,9981,5760,6299,607
249,10109,5777,6326,603
250,9919,5824,6341,599
251,9840,5807,6308,601
252,10095,5880,6415,618
253,9873,5894,6385,606
254,9926,5841,6327,605
255,9915,5783,6302,598
256,9907,5845,6255,606
257,9914,5815,6220,600
258,9830,5808,6227,618
259,9742,5785,6240,609
260,9952,5789,6291,590
261,9908,5806,6285,604
262,9876,5750,6324,603
263,9947,5788,6344,602
264,10096,5854,6389,609
265,9917,5845,6388,621
266,9962,5884,6334,616
267,10023,5901,6303,619
268,9969,5923,6333,611
269,9921,5888,6348,606
270,9992,5885,6419,625
271,9879,5873,6377,613
272,9887,5861,6369,607
273,9915,5880,6336,611
274,9811,5835,6326,628
275,9901,5782,6340,616
276,9724,5770,6286,608
277,9834,5775,6292,633
278,9922,5829,6377,642
279,9900,5862,6327,661
280,9813,5849,6299,658
281,9904,5808,6330,660
282,10024,5895,6326,670
283,9885,5853,6307,659
284,9926,5837,6362,667
285,9932,5881,6397,678
286,9850,5844,6310,670
287,10022,5839,6377,660
288,9964,5825,6372,651
289,9857,5817,6326,652
290,10000,5854,6319,647
291,9830,5843,6314,671
292,9921,5869,6361,681
293,9827,5882,6370,676
294,9940,5903,6419,670
295,9872,5859,6335,680
296,9941,5872,6405,677
297,9946,5886,6414,671
298,9958,5895,6408,661
299,9849,5897,6404,660
300,9969,5894,6428,658
301,9827,5876,6464,665
302,9828,5916,6428,666
303,9982,5938,6457,680
304,9907,5936,6477,677
305,9962,5961,6493,680
306,9820,5967,6442,684
307,10013,6008,6496,715
308,10063,6003,6507,715
309,9784,5936,6475,699
310,9967,5998,6511,699
311,9964,6054,6512,701
312,9747,6060,6509,704
313,9902,6059,6509,702
314,9803,6043,6487,702
315,9892,6081,6504,708
316,9841,6048,6485,691
317,9984,6060,6510,716
318,9862,6075,6553,698
319,9838,6046,6530,688
320,9832,6025,6600,701
321,9846,6056,6550,710
322,9867,6081,6536,693
323,9936,6095,6478,699
324,9934,6068,6504,690
325,9910,6070,6475,701
326,9766,6087,6436,705
327,9769,6131,6413,704
328,9936,6151,6515,694
329,9891,6135,6574,699
330,9866,6141,6580,691
331,9925,6184,6590,693
332,9969,6139,6530,698
333,10013,6196,6577,698
334,9959,6164,6560,701
335,10057,6200,6548,687
336,9904,6151,6553,674
337,10058,6184,6469,692
338,9834,6118,6424,708
339,10004,6168,6446,715
340,9842,6188,6450,710
341,9831,6200,6441,714
342,9859,6220,6521,712
343,9918,6214,6529,722
344,9981,6184,6548,713
345,9899,6207,6503,698
346,9819,6156,6464,711
347,9942,6220,6464,715
348,9910,6233,6506,714
349,9930,6184,6494,709
350,9991,6241,6536,711
351,9819,6281,6526,720
352,9855,6278,6558,725
353,9962,6350,6563,734
354,9811,6310,6515,734
355,9792,6274,6581,736
356,9890,6298,6575,729
357,9867,6320,6603,719
358,9925,6392,6630,729
359,9919,6359,6638,730
360,9925,6373,6624,737
361,9808,6335,6645,745
362,9946,6346,6652,736
363,9852,6305,6646,749
364,9902,6332,6710,738
365,9913,6352,6706,744
366,9822,6377,6634,746
367,9891,6343,6665,747
368,9887,6360,6653,739
369,9887,6296,6669,728
370,9857,6317,6684,731
371,9896,6356,6700,741
372,9948,6394,6700,745
373,9836,6372,6650,740
374,9937,6391,6708,744
375,9862,6429,6704,731
376,9837,6442,6658,729
377,9856,6424,6740,727
