pos	fix_time	rep	recomb	mut_rate	num_sub
5	774	9	linked	1.00E-08	8
6	3547	9	linked	1.00E-08	8
7	4217	9	linked	1.00E-08	8
0	6399	10	linked	1.00E-08	9
2	11171	10	linked	1.00E-08	9
3	4668	10	linked	1.00E-08	9
4	1628	10	linked	1.00E-08	9
5	8865	10	linked	1.00E-08	9
6	8331	10	linked	1.00E-08	9
7	10204	10	linked	1.00E-08	9
8	9803	10	linked	1.00E-08	9
9	17545	10	linked	1.00E-08	9
0	14314	1	linked	1.00E-09	1
NA	NA	2	linked	1.00E-09	0
6	10734	3	linked	1.00E-09	1
4	6119	4	linked	1.00E-09	2
8	17381	5	linked	1.00E-09	2
NA	NA	6	linked	1.00E-09	0
0	6720	7	linked	1.00E-09	2
7	18953	7	linked	1.00E-09	2
0	9932	8	linked	1.00E-09	2
7	15354	8	linked	1.00E-09	2
2	4716	9	linked	1.00E-09	1
3	13658	10	linked	1.00E-09	4
4	8603	10	linked	1.00E-09	4
6	12301	10	linked	1.00E-09	4
7	5110	10	linked	1.00E-09	4
0	4404	1	unlinked	1.00E-07	10
1	2914	1	unlinked	1.00E-07	10
2	418	1	unlinked	1.00E-07	10
3	8886	1	unlinked	1.00E-07	10
4	3560	1	unlinked	1.00E-07	10
5	588	1	unlinked	1.00E-07	10
6	2411	1	unlinked	1.00E-07	10
7	1179	1	unlinked	1.00E-07	10
8	1126	1	unlinked	1.00E-07	10
9	622	1	unlinked	1.00E-07	10
0	12461	2	unlinked	1.00E-07	10
1	504	2	unlinked	1.00E-07	10
2	1277	2	unlinked	1.00E-07	10
3	1499	2	unlinked	1.00E-07	10
4	1498	2	unlinked	1.00E-07	10
5	1705	2	unlinked	1.00E-07	10
6	791	2	unlinked	1.00E-07	10
7	4400	2	unlinked	1.00E-07	10
8	455	2	unlinked	1.00E-07	10
9	563	2	unlinked	1.00E-07	10
0	1172	3	unlinked	1.00E-07	10
1	1573	3	unlinked	1.00E-07	10
2	1845	3	unlinked	1.00E-07	10
3	1035	3	unlinked	1.00E-07	10
4	1514	3	unlinked	1.00E-07	10
5	1483	3	unlinked	1.00E-07	10
6	634	3	unlinked	1.00E-07	10
7	6491	3	unlinked	1.00E-07	10
8	1425	3	unlinked	1.00E-07	10
9	1001	3	unlinked	1.00E-07	10
0	5704	4	unlinked	1.00E-07	10
1	1470	4	unlinked	1.00E-07	10
2	2179	4	unlinked	1.00E-07	10
3	1755	4	unlinked	1.00E-07	10
4	2371	4	unlinked	1.00E-07	10
5	1053	4	unlinked	1.00E-07	10
6	8858	4	unlinked	1.00E-07	10
7	1831	4	unlinked	1.00E-07	10
8	1670	4	unlinked	1.00E-07	10
9	1994	4	unlinked	1.00E-07	10
0	19954	5	unlinked	1.00E-07	10
1	1459	5	unlinked	1.00E-07	10
2	533	5	unlinked	1.00E-07	10
3	2319	5	unlinked	1.00E-07	10
4	1913	5	unlinked	1.00E-07	10
5	4786	5	unlinked	1.00E-07	10
6	4632	5	unlinked	1.00E-07	10
7	451	5	unlinked	1.00E-07	10
8	880	5	unlinked	1.00E-07	10
9	1203	5	unlinked	1.00E-07	10
0	9072	6	unlinked	1.00E-07	10
1	1347	6	unlinked	1.00E-07	10
2	430	6	unlinked	1.00E-07	10
3	3749	6	unlinked	1.00E-07	10
4	650	6	unlinked	1.00E-07	10
5	2875	6	unlinked	1.00E-07	10
6	8089	6	unlinked	1.00E-07	10
7	468	6	unlinked	1.00E-07	10
8	1086	6	unlinked	1.00E-07	10
9	1138	6	unlinked	1.00E-07	10
0	3502	7	unlinked	1.00E-07	10
1	509	7	unlinked	1.00E-07	10
2	799	7	unlinked	1.00E-07	10
3	1926	7	unlinked	1.00E-07	10
4	904	7	unlinked	1.00E-07	10
5	2258	7	unlinked	1.00E-07	10
6	970	7	unlinked	1.00E-07	10
7	1498	7	unlinked	1.00E-07	10
8	1532	7	unlinked	1.00E-07	10
9	943	7	unlinked	1.00E-07	10
0	1764	8	unlinked	1.00E-07	10
1	1963	8	unlinked	1.00E-07	10
2	517	8	unlinked	1.00E-07	10
3	3196	8	unlinked	1.00E-07	10
4	1203	8	unlinked	1.00E-07	10
5	497	8	unlinked	1.00E-07	10
6	1436	8	unlinked	1.00E-07	10
7	1591	8	unlinked	1.00E-07	10
8	890	8	unlinked	1.00E-07	10
9	787	8	unlinked	1.00E-07	10
0	2580	9	unlinked	1.00E-07	10
1	998	9	unlinked	1.00E-07	10
2	4697	9	unlinked	1.00E-07	10
3	3487	9	unlinked	1.00E-07	10
4	1677	9	unlinked	1.00E-07	10
5	3359	9	unlinked	1.00E-07	10
6	9237	9	unlinked	1.00E-07	10
7	3563	9	unlinked	1.00E-07	10
8	1107	9	unlinked	1.00E-07	10
